# Prime,Sum of Digits
2,2
3,3
5,5
7,7
11,2
23,5
29,11
41,5
43,7
47,11
61,7
67,13
83,11
89,17
101,2
113,5
131,5
137,11
139,13
151,7
157,13
173,11
179,17
191,11
193,13
197,17
199,19
223,7
227,11
229,13
241,7
263,11
269,17
281,11
283,13
311,5
313,7
317,11
331,7
337,13
353,11
359,17
373,13
379,19
397,19
401,5
409,13
421,7
443,11
449,17
461,11
463,13
467,17
487,19
557,17
571,13
577,19
593,17
599,23
601,7
607,13
641,11
643,13
647,17
661,13
683,17
719,17
733,13
739,19
751,13
757,19
773,17
797,23
809,17
821,11
823,13
827,17
829,19
863,17
881,17
883,19
887,23
911,11
919,19
937,19
953,17
971,17
977,23
991,19
1013,5
1019,11
1031,5
1033,7
1039,13
1051,7
1091,11
1093,13
1097,17
1103,5
1109,11
1123,7
1129,13
1163,11
1181,11
1187,17
1213,7
1217,11
1231,7
1237,13
1259,17
1277,17
1279,19
1291,13
1297,19
1301,5
1303,7
1307,11
1321,7
1327,13
1361,11
1367,17
1381,13
1433,11
1439,17
1451,11
1453,13
1459,19
1471,13
1493,17
1499,23
1523,11
1543,13
1549,19
1567,19
1583,17
1613,11
1619,17
1637,17
1657,19
1693,19
1697,23
1709,17
1721,11
1723,13
1741,13
1747,19
1783,19
1787,23
1811,11
1831,13
1871,17
1873,19
1877,23
1901,11
1907,17
1949,23
2003,5
2027,11
2029,13
2063,11
2069,17
2081,11
2083,13
2087,17
2089,19
2111,5
2113,7
2131,7
2137,13
2153,11
2179,19
2203,7
2207,11
2221,7
2243,11
2267,17
2269,19
2281,13
2287,19
2311,7
2333,11
2339,17
2351,11
2357,17
2371,13
2377,19
2393,17
2399,23
2423,11
2441,11
2447,17
2467,19
2531,11
2539,19
2551,13
2557,19
2579,23
2591,17
2593,19
2609,17
2621,11
2647,19
2663,17
2683,19
2687,23
2711,11
2713,13
2719,19
2731,13
2753,17
2777,23
2791,19
2801,11
2803,13
2843,17
2861,17
2917,19
2939,23
2953,19
2957,23
2971,19
2999,29
3011,5
3019,13
3037,13
3079,19
3109,13
3121,7
3163,13
3167,17
3169,19
3181,13
3187,19
3217,13
3251,11
3253,13
3257,17
3259,19
3271,13
3299,23
3301,7
3307,13
3323,11
3329,17
3343,13
3347,17
3361,13
3389,23
3413,11
3433,13
3457,19
3491,17
3527,17
3529,19
3541,13
3547,19
3581,17
3583,19
3613,13
3617,17
3631,13
3637,19
3659,23
3671,17
3673,19
3677,23
3691,19
3701,11
3709,19
3727,19
3761,17
3767,23
3833,17
3851,17
3853,19
3907,19
3923,17
3929,23
3943,19
3947,23
3989,29
4001,5
4003,7
4007,11
4021,7
4027,13
4049,17
4111,7
4133,11
4139,17
4153,13
4157,17
4159,19
4177,19
4201,7
4229,17
4241,11
4243,13
4261,13
4283,17
4289,23
4337,17
4339,19
4357,19
4373,17
4391,17
4397,23
4409,17
4421,11
4423,13
4441,13
4447,19
4463,17
4481,17
4483,19
4513,13
4517,17
4519,19
4591,19
4603,13
4621,13
4643,17
4649,23
4663,19
4733,17
4751,17
4793,23
4799,29
4801,13
4861,19
4889,29
4919,23
4931,17
4933,19
4937,23
4951,19
4973,23
4999,31
5011,7
5039,17
5051,11
5059,19
5077,19
5099,23
5101,7
5107,13
5147,17
5167,19
5189,23
5231,11
5233,13
5237,17
5273,17
5279,23
5297,23
5303,11
5309,17
5323,13
5347,19
5381,17
5387,23
5413,13
5417,17
5419,19
5431,13
5437,19
5471,17
5477,23
5501,11
5503,13
5507,17
5521,13
5527,19
5563,19
5581,19
5639,23
5651,17
5653,19
5657,23
5693,23
5701,13
5741,17
5743,19
5783,23
5813,17
5851,19
5879,29
5897,29
5903,17
5923,19
5927,23
5981,23
5987,29
6007,13
6029,17
6043,13
6047,17
6067,19
6089,23
6113,11
6131,11
6133,13
6151,13
6173,17
6197,23
6203,11
6221,11
6229,19
6247,19
6263,17
6269,23
6287,23
6311,11
6317,17
6337,19
6353,17
6359,23
6373,19
6421,13
6427,19
6449,23
6481,19
6551,17
6553,19
6571,19
6599,29
6607,19
6661,19
6689,29
6719,23
6733,19
6737,23
6779,29
6791,23
6803,17
6823,19
6827,23
6841,19
6863,23
6869,29
6911,17
6917,23
6959,29
6971,23
6977,29
6997,31
7013,11
7019,17
7039,19
7057,19
7079,23
7103,11
7109,17
7121,11
7127,17
7129,19
7187,23
7211,11
7213,13
7219,19
7237,19
7253,17
7307,17
7309,19
7321,13
7349,23
7411,13
7417,19
7433,17
7451,17
7457,23
7499,29
7507,19
7523,17
7529,23
7541,17
7547,23
7561,19
7583,23
7589,29
7673,23
7691,23
7699,31
7703,17
7723,19
7727,23
7741,19
7789,31
7817,23
7853,23
7877,29
7879,31
7901,17
7907,23
7949,29
8009,17
8069,23
8081,17
8087,23
8111,11
8117,17
8171,17
8191,19
8209,19
8221,13
8243,17
8263,19
8311,13
8317,19
8353,19
8423,17
8429,23
8443,19
8447,23
8461,19
8513,17
8537,23
8573,23
8597,29
8599,31
8609,23
8623,19
8627,23
8641,19
8663,23
8669,29
8681,23
8689,31
8713,19
8731,19
8753,23
8779,31
8803,19
8807,23
8821,19
8849,29
8861,23
8867,29
8887,31
8933,23
8951,23
9011,11
9013,13
9059,23
9091,19
9103,13
9109,19
9127,19
9161,17
9181,19
9239,23
9257,23
9293,23
9323,17
9341,17
9343,19
9413,17
9419,23
9431,17
9433,19
9437,23
9473,23
9479,29
9491,23
9497,29
9521,17
9587,29
9613,19
9631,19
9677,29
9679,31
9697,31
9721,19
9743,23
9749,29
9767,29
9769,31
9787,31
9811,19
9833,23
9839,29
9851,23
9857,29
9859,31
9901,19
9923,23
9929,29
9941,23
9949,31
9967,31
10037,11
10039,13
10079,17
10091,11
10093,13
10099,19
10103,5
10141,7
10163,11
10169,17
10181,11
10211,5
10253,11
10259,17
10271,11
10273,13
10301,5
10303,7
10321,7
10343,11
10369,19
10433,11
10453,13
10457,17
10459,19
10477,19
10499,23
10501,7
10529,17
10567,19
10589,23
10613,11
10631,11
10639,19
10651,13
10657,19
10691,17
10709,17
10723,13
10729,19
10781,17
10831,13
10837,19
10853,17
10859,23
10891,19
10903,13
10909,19
10949,23
11003,5
11027,11
11047,13
11069,17
11083,13
11087,17
11113,7
11117,11
11119,13
11131,7
11159,17
11171,11
11173,13
11177,17
11197,19
11243,11
11261,11
11287,19
11311,7
11317,13
11351,11
11353,13
11393,17
11399,23
11423,11
11443,13
11447,17
11467,19
11483,17
11489,23
11519,17
11551,13
11579,23
11593,19
11597,23
11621,11
11681,17
11717,17
11719,19
11731,13
11777,23
11801,11
11807,17
11821,13
11827,19
11863,19
11867,23
11933,17
11939,23
11953,19
11971,19
12011,5
12037,13
12071,11
12073,13
12097,19
12101,5
12107,11
12109,13
12143,11
12149,17
12161,11
12163,13
12211,7
12239,17
12251,11
12253,13
12277,19
12301,7
12323,11
12329,17
12343,13
12347,17
12413,11
12433,13
12437,17
12451,13
12457,19
12473,17
12479,23
12491,17
12497,23
12503,11
12527,17
12541,13
12547,19
12569,23
12583,19
12611,11
12613,13
12619,19
12637,19
12653,17
12659,23
12671,17
12703,13
12721,13
12743,17
12763,19
12781,19
12853,19
12893,23
12899,29
12907,19
12923,17
12941,17
12983,23
13001,5
13003,7
13007,11
13009,13
13043,11
13049,17
13063,13
13151,11
13159,19
13171,13
13177,19
13229,17
13241,11
13249,19
13267,19
13313,11
13331,11
13337,17
13339,19
13397,23
13421,11
13441,13
13463,17
13469,23
13487,23
13513,13
13537,19
13553,17
13577,23
13591,19
13627,19
13649,23
13681,19
13711,13
13751,17
13757,23
13799,29
13807,19
13829,23
13841,17
13883,23
13913,17
13931,17
13933,19
13997,29
13999,31
14011,7
14033,11
14051,11
14057,17
14071,13
14107,13
14143,13
14149,19
14251,13
14293,19
14303,11
14321,11
14323,13
14327,17
14341,13
14347,19
14369,23
14387,23
14411,11
14419,19
14431,13
14437,19
